I [uA],U [V]
0.0,0.388
0.3,0.328
0.6,0.281
0.9,0.238
1.2,0.201
1.5,0.165
1.8,0.134
2.1,0.103
2.4,0.074
2.7,0.046
3.0,0.018
3.2,0.0
