I [uA],U [V]
0.0,0.447
0.2,0.366
0.4,0.309
0.6,0.263
0.8,0.222
1.0,0.184
1.2,0.149
1.4,0.117
1.6,0.085
1.8,0.054
2.0,0.027
2.2,0.0
