I [uA],U [V]
0.0,0.565
0.2,0.47
0.4,0.395
0.6,0.336
0.8,0.286
1.0,0.243
1.2,0.202
1.4,0.165
1.6,0.129
1.8,0.096
2.0,0.063
2.2,0.033
2.4,0.002
2.42,0.0
