U[V],I[mA]
0.467,4.6
0.465,4.8
0.465,5.0
0.465,5.3
0.464,5.6
0.464,6.0
0.463,6.4
0.462,6.9
0.462,7.4
0.461,8.1
0.461,8.8
0.461,9.8
0.46,10.9
0.458,12.3
0.457,14.2
0.455,16.8
0.451,20.7
0.446,25.9
0.434,36.7
0.39,57.0
0.369,61.7
0.34,66.1
0.305,69.4
0.273,71.3
0.216,72.8
0.148,73.3
0.118,73.5
