U[V],I[mA]
9.735,0.50
9.695,0.52
9.678,0.55
9.638,0.62
9.588,0.7
9.52,0.82
9.42,0.97
9.255,1.2
9.12,1.37
8.926,1.57
8.623,1.84
8.055,2.17
6.728,2.47
6.25,2.52
5.407,2.57
4.877,2.60
4.389,2.62
3.818,2.63
3.275,2.65
2.519,2.67
1.887,2.68
1.284,2.71
0.678,2.72
0.058,2.74
0.044,2.72
